Músicas,Álbuns,Artistas,Data de Lançamento,ISRC,Rank,Track Score,Explicit Track
MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,4/26/2024,QM24S2402528,1,725.4,0
Not Like Us,Not Like Us,Kendrick Lamar,5/4/2024,USUG12400910,2,545.9,1
i like the way you kiss me,I like the way you kiss me,Artemas,3/19/2024,QZJ842400387,3,538.4,0
Flowers,Flowers - Single,Miley Cyrus,1/12/2023,USSM12209777,4,444.9,0
Houdini,Houdini,Eminem,5/31/2024,USUG12403398,5,423.3,1
Lovin On Me,Lovin On Me,Jack Harlow,11/10/2023,USAT22311371,6,410.1,1
Beautiful Things,Beautiful Things,Benson Boone,1/18/2024,USWB12307016,7,407.2,0
Gata Only,Gata Only,FloyyMenor,2/2/2024,QZL382406049,8,375.8,1
Danza Kuduro - Cover,ýýýýýýýýýýýýýýýýýýýýý - ýýýýýýýýýýýýýýýýýý -,MUSIC LAB JPN,6/9/2024,TCJPA2463708,9,355.7,1
BAND4BAND (feat. Lil Baby),BAND4BAND (feat. Lil Baby),Central Cee,5/23/2024,USSM12404354,10,330.6,1
I Had Some Help (feat. Morgan Wallen),I Had Some Help,Post Malone,5/10/2024,USUM72404990,11,322.1,1
The Door,The Door,Teddy Swims,6/14/2024,USWB12402486,12,320.2,1
LUNCH,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,USUM72401991,13,316.3,0
Like That,WE DON'T TRUST YOU,Future,3/22/2024,USSM12402041,14,308.2,1
bathroom floor,bathroom floor,Kids With Buns,10/7/2022,NLC242100307,15,301.6,0
LALA,LALA - Single,Myke Towers,3/22/2023,USWL12300002,16,299.9,1
Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,USUG12401028,17,297.6,0
greedy,greedy,Tate McRae,9/14/2023,USRC12301932,18,293.7,1
BLUE,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,USUM72401996,19,292.6,0
As It Was,As It Was,Harry Styles,3/31/2022,USSM12200612,20,292.0,0
Paint The Town Red,Paint The Town Red,Doja Cat,8/4/2023,USRC12300907,21,290.5,1
Espresso,Espresso,Sabrina Carpenter,4/12/2024,USUM72403305,22,281.5,1
Danza Kuduro - Cover,CLUB DE YOKUKIKU YOUGAKU MEDLEY,MUSIC LAB JPN,5/21/2024,TCJPA2445163,23,279.0,1
TEXAS HOLD 'EM,TEXAS HOLD 'EM,Beyoncï¿,2/10/2024,USSM12401302,24,278.9,1
Future,Future,official sound studio,1/10/2024,RUA1H2415548,25,277.5,0
Beat Automotivo Tan Tan Tan Viral,Beat Automotivo Tan Tan Tan Viral,WZ Beat,5/24/2022,BXWEH2200054,26,268.1,0
STAY (with Justin Bieber),STAY (with Justin Bieber),The Kid LAROI,7/9/2021,USSM12103949,27,266.3,1
Baby Shark,ýýýýýýýýý ýýýýýý ýýýýýýýýýýýý,Pinkfong,12/1/2015,KRE671700001,28,265.7,0
we can't be friends (wait for your love),eternal sunshine,Ariana Grande,3/8/2024,USUM72317276,29,262.8,0
Numb / Encore,Papercuts,JAY-Z,4/12/2024,USWB12400678,30,256.0,1
Danza Kuduro - Cover,ýýýýýýýýýýýýýýýýýýýýýýýýýýý ýýýýýýýýýýýýýýýýýýýýýýýýýýý,LOVE BGM JPN,5/14/2024,TCJPA2406007,31,249.8,1
